Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance
26,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,2293,10558,1,3,1,2,2
27,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,Sales Executive,3,Single,8726,2975,1,4,9,0,3
30,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,Laboratory Technician,4,Single,4011,10781,1,4,12,2,3
41,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,Research Director,3,Married,19545,16280,1,4,23,0,3
34,Non-Travel,Sales,23,4,Marketing,2,Male,3,Sales Executive,3,Single,4568,10034,0,3,10,2,3
37,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,Research Scientist,2,Married,3022,10227,4,1,8,1,3
46,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,Sales Executive,4,Single,5772,20445,4,3,14,4,3
35,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,Laboratory Technician,4,Married,2269,4892,1,4,1,2,3
48,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,Laboratory Technician,3,Single,5381,19294,9,4,23,2,3
28,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,Laboratory Technician,3,Single,3441,11179,1,3,2,3,2
44,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,Sales Executive,1,Divorced,5454,4009,5,3,9,2,2
35,Non-Travel,Research & Development,11,2,Medical,3,Male,2,Healthcare Representative,1,Married,9884,8302,2,3,10,3,3
26,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,Sales Executive,4,Married,4157,21436,7,3,5,2,2
33,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,Research Director,4,Single,13458,15146,1,3,15,1,3
35,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,Sales Executive,1,Married,9069,11031,1,4,9,3,2
35,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,Laboratory Technician,1,Married,4014,16002,3,3,4,3,3
31,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,Laboratory Technician,4,Divorced,5915,9528,3,4,10,3,2
37,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,Manufacturing Director,3,Divorced,5993,2689,1,3,7,2,4
32,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,Manufacturing Director,4,Married,6162,10877,1,2,9,3,3
38,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,Laboratory Technician,4,Single,2406,5456,1,4,10,2,3
50,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,Research Director,3,Divorced,18740,16701,5,4,29,2,2
59,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,Sales Executive,1,Single,7637,2354,7,4,28,3,2
36,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,Healthcare Representative,3,Divorced,10096,8202,1,2,17,2,3
55,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,Manager,3,Divorced,14756,19730,2,3,21,2,3
36,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,Manufacturing Director,2,Single,6499,22656,1,3,6,3,3
45,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,Research Scientist,1,Divorced,9724,18787,2,3,25,2,3
35,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,Research Scientist,1,Married,2194,5868,4,4,5,2,2
36,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,Research Scientist,3,Married,3388,21777,0,1,2,0,2
59,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,Sales Executive,3,Single,5473,24668,7,4,20,2,2
29,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,Research Scientist,2,Married,2703,4956,0,4,6,3,3
31,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,Research Scientist,2,Single,2501,18775,1,2,1,4,3
32,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,Research Scientist,2,Married,6220,7346,1,2,10,3,3
36,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,Laboratory Technician,4,Married,3038,22002,3,2,5,3,3
31,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,Manufacturing Director,4,Single,4424,20682,1,4,11,2,3
35,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,Sales Executive,1,Single,4312,23016,0,2,16,2,3
45,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,Research Director,1,Married,13245,15067,4,2,17,3,4
37,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,Research Director,3,Single,13664,25258,4,1,16,3,4
46,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,Human Resources,2,Divorced,5021,10425,8,4,16,2,3
30,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,Laboratory Technician,4,Married,5126,15998,1,3,10,1,2
35,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,Research Scientist,3,Single,2859,26278,1,1,6,3,3
55,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,Sales Executive,4,Married,10239,18092,3,4,24,4,3
38,Non-Travel,Research & Development,6,3,Medical,2,Female,1,Research Scientist,4,Divorced,5329,15717,7,4,17,3,3
34,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,Manufacturing Director,2,Married,4325,17736,1,3,5,2,3
56,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,Manufacturing Director,4,Single,7260,21698,4,1,37,3,2
23,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,Sales Representative,1,Divorced,2322,9518,3,3,3,3,3
51,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,Laboratory Technician,4,Married,2075,18725,3,2,10,4,3
30,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,Healthcare Representative,4,Married,4152,15830,1,1,11,3,3
46,Travel_Rarely,Sales,9,2,Medical,3,Male,2,Sales Executive,4,Single,9619,13596,1,4,9,3,3
40,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,Healthcare Representative,2,Married,13503,14115,1,4,22,3,2
51,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,Sales Executive,4,Single,5441,8423,0,4,11,2,1
30,Travel_Rarely,Sales,4,2,Medical,3,Female,2,Sales Executive,2,Divorced,5209,19760,1,2,11,4,2
46,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,Healthcare Representative,1,Married,10673,3142,2,3,21,5,2
32,Travel_Rarely,Sales,6,4,Medical,2,Male,3,Sales Executive,3,Single,5010,24301,1,1,12,0,3
54,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,Research Director,3,Married,13549,24001,9,1,16,5,1
24,Travel_Rarely,Sales,3,2,Other,1,Female,3,Sales Executive,3,Married,4999,17519,0,1,4,2,2
28,Non-Travel,Sales,4,3,Medical,2,Male,3,Sales Executive,3,Married,4221,8863,1,2,5,3,4
58,Travel_Rarely,Sales,10,4,Medical,4,Male,3,Sales Executive,3,Single,13872,24409,0,3,38,1,2
44,Non-Travel,Research & Development,23,3,Medical,2,Male,3,Laboratory Technician,2,Married,2042,25043,4,3,17,3,4
37,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,Human Resources,1,Divorced,2073,23648,4,4,7,3,3
32,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,Research Scientist,1,Single,2956,15178,1,4,1,2,3
20,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,Laboratory Technician,4,Single,2926,19783,1,2,1,5,3
34,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,Research Scientist,3,Single,4809,12482,1,3,16,3,3
37,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,Healthcare Representative,4,Divorced,5163,15850,5,4,17,2,4
59,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,Manager,4,Married,18844,21922,9,4,30,3,3
50,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,Research Director,2,Married,18172,9755,3,1,28,1,2
25,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,Sales Executive,3,Single,5744,26959,1,4,6,1,3
25,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,Research Scientist,4,Married,2889,26897,1,3,2,2,3
22,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,Laboratory Technician,4,Single,2871,23785,1,3,1,5,3
51,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,Healthcare Representative,1,Single,7484,25796,3,3,23,1,2
34,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,6074,22887,1,4,9,3,3
54,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,Manager,4,Single,17328,13871,2,3,23,3,3
24,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,Laboratory Technician,3,Married,2774,13257,0,3,6,2,3
34,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,Research Scientist,2,Divorced,4505,15000,6,3,12,3,3
37,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,Sales Executive,4,Single,7428,14506,2,1,12,3,3
34,Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,Manager,1,Single,11631,5615,2,4,14,6,3
36,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,Sales Executive,4,Married,9738,22952,0,3,10,6,3
36,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,3,Laboratory Technician,4,Divorced,2835,2561,5,1,7,2,3
43,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,Manager,4,Married,16959,19494,1,4,25,3,4
30,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,Research Scientist,3,Divorced,2613,22310,1,3,10,2,2
33,Non-Travel,Sales,22,2,Marketing,3,Male,3,Sales Executive,2,Married,6146,15480,0,1,8,2,4
56,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,Research Scientist,2,Married,4963,4510,9,1,7,2,3
51,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,Research Director,3,Single,19537,6462,7,3,23,5,3
31,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,Sales Executive,3,Married,6172,20739,4,2,12,3,2
26,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,Research Scientist,2,Married,2368,23300,1,3,5,3,2
58,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,Healthcare Representative,4,Married,10312,3465,1,4,40,3,2
19,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,Sales Representative,3,Single,1675,26820,1,4,0,2,2
22,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,Laboratory Technician,4,Married,2523,19299,0,3,3,2,3
49,Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,Manufacturing Director,1,Married,6567,5549,1,3,16,2,2
43,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,Research Scientist,3,Single,4739,16090,4,4,18,2,3
50,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,Sales Executive,4,Single,9208,6645,4,4,16,3,3
31,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,Sales Executive,3,Married,4559,24788,3,3,4,2,3
41,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,Sales Executive,3,Divorced,8189,21196,3,3,12,2,3
26,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,Human Resources,3,Married,2942,8916,1,4,8,3,3
36,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,Manufacturing Director,2,Divorced,4941,2819,6,4,7,0,3
51,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,Manufacturing Director,4,Single,10650,25150,2,4,18,2,3
39,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,Sales Executive,3,Married,5902,14590,4,3,17,1,4
25,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,Sales Executive,3,Married,8639,24835,2,4,6,3,3
30,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,3,Human Resources,4,Married,6347,13982,0,4,12,2,1
32,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,Laboratory Technician,1,Single,4200,10224,7,1,10,2,4
45,Travel_Rarely,Research & Development,29,3,Medical,3,Male,3,Research Scientist,4,Single,3452,9752,5,2,9,2,2
38,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,3,Research Scientist,3,Single,4317,2302,3,2,19,2,3
30,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,3,Research Scientist,3,Single,2632,23910,1,3,5,4,2
32,Travel_Frequently,Sales,9,2,Medical,4,Male,1,Sales Executive,4,Divorced,4668,22812,0,4,9,2,4
30,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,3,Research Scientist,1,Divorced,3204,10415,5,4,8,3,3
30,Travel_Rarely,Research & Development,2,1,Medical,2,Male,2,Laboratory Technician,4,Single,2720,11162,0,4,6,3,3
41,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,2,Manager,1,Divorced,17181,12888,4,2,21,2,2
41,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,3,Laboratory Technician,1,Married,2238,6961,2,4,7,2,3
19,Travel_Rarely,Research & Development,3,1,Medical,2,Female,3,Laboratory Technician,2,Single,1483,16102,1,4,1,3,3
40,Travel_Frequently,Research & Development,26,3,Medical,2,Female,3,Research Scientist,2,Divorced,5605,8504,1,1,20,2,3
35,Travel_Rarely,Sales,1,5,Marketing,3,Male,3,Sales Executive,2,Married,7295,11439,1,1,10,3,3
53,Travel_Rarely,Sales,6,2,Marketing,2,Male,3,Sales Representative,3,Married,2306,16047,2,4,13,3,1
45,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,3,Laboratory Technician,2,Divorced,2348,10901,8,3,20,2,1
32,Travel_Frequently,Sales,8,3,Marketing,2,Female,3,Sales Executive,4,Single,8998,15589,1,4,9,2,3
29,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,3,Manufacturing Director,3,Married,4319,26283,1,1,10,1,3
51,Travel_Rarely,Research & Development,7,4,Medical,2,Male,2,Manufacturing Director,3,Married,6132,13983,2,3,10,2,3
58,Travel_Rarely,Research & Development,9,3,Medical,2,Female,2,Research Scientist,2,Married,3346,11873,4,2,9,3,2
40,Travel_Rarely,Sales,4,4,Marketing,3,Male,2,Sales Executive,4,Married,10855,8552,7,1,15,2,2
34,Travel_Frequently,Sales,2,4,Marketing,3,Female,3,Sales Representative,3,Married,2231,11314,6,4,6,3,3
22,Travel_Rarely,Research & Development,19,1,Medical,3,Male,3,Research Scientist,4,Married,2323,11992,1,1,2,6,3
27,Non-Travel,Research & Development,9,3,Medical,4,Male,3,Research Scientist,2,Divorced,2024,5970,6,4,6,1,1
28,Travel_Rarely,Research & Development,21,3,Medical,3,Male,3,Research Scientist,4,Married,2713,6672,1,3,5,2,1
57,Travel_Rarely,Research & Development,24,2,Life Sciences,3,Male,4,Healthcare Representative,4,Divorced,9439,23402,3,2,12,2,1
27,Non-Travel,Research & Development,3,3,Medical,3,Male,2,Research Scientist,3,Divorced,2566,25326,1,4,1,2,2
50,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,3,Manager,2,Single,19926,17053,3,2,21,5,3
41,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,3,Research Scientist,3,Divorced,2451,4609,4,1,13,2,3
30,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,3,Sales Executive,4,Married,9419,8053,2,3,12,2,3
38,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,2,Sales Executive,4,Single,8686,12930,4,3,12,2,4
32,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,3,Research Scientist,3,Single,3038,12430,3,1,8,2,3
27,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,3,Research Scientist,2,Married,3058,13364,0,4,6,3,2
19,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,Sales Representative,1,Single,2325,20989,0,1,1,5,4
36,Travel_Frequently,Research & Development,3,2,Medical,4,Male,3,Laboratory Technician,2,Single,2088,15062,4,3,13,3,2
30,Non-Travel,Research & Development,9,3,Medical,3,Male,3,Laboratory Technician,1,Divorced,3072,11012,1,3,12,4,3
45,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,3,Sales Executive,1,Divorced,5006,6319,4,1,9,3,4
56,Travel_Rarely,Research & Development,8,3,Life Sciences,3,Female,3,Research Scientist,1,Divorced,4257,13939,4,3,19,3,3
33,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,Research Scientist,4,Single,2500,10515,0,1,4,2,4
19,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,2,Laboratory Technician,4,Single,1102,9241,1,3,1,3,2
46,Travel_Rarely,Sales,1,2,Marketing,2,Female,3,Sales Executive,1,Divorced,10453,2137,1,3,24,2,3
38,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,3,Laboratory Technician,4,Single,2288,6319,1,3,2,3,3
31,Travel_Rarely,Research & Development,12,1,Medical,3,Female,3,Research Scientist,4,Married,3929,6984,8,3,7,0,3
34,Travel_Rarely,Research & Development,27,2,Medical,4,Female,3,Research Scientist,2,Single,2311,5711,2,4,9,3,3
41,Travel_Rarely,Sales,20,2,Marketing,2,Female,3,Sales Representative,2,Single,3140,21728,1,4,4,5,2
50,Travel_Rarely,Research & Development,1,3,Medical,3,Male,2,Laboratory Technician,3,Married,3690,3425,2,4,5,2,2
53,Travel_Rarely,Research & Development,13,2,Medical,4,Female,4,Manufacturing Director,1,Divorced,4450,26250,1,3,5,3,3
33,Travel_Rarely,Research & Development,14,3,Medical,4,Female,3,Research Scientist,2,Married,2756,4673,1,4,8,5,3
40,Travel_Rarely,Research & Development,4,1,Medical,4,Female,3,Manager,3,Married,19033,6499,1,2,21,2,3
55,Travel_Rarely,Research & Development,14,4,Medical,3,Male,4,Research Director,2,Single,18722,13339,8,4,36,3,3
34,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,2,Manufacturing Director,3,Married,9547,14074,1,3,10,2,2
51,Travel_Rarely,Research & Development,3,3,Medical,4,Female,3,Healthcare Representative,2,Single,13734,7192,3,3,21,6,3
52,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Male,2,Manager,3,Married,19999,5678,0,1,34,5,3
27,Travel_Rarely,Research & Development,9,3,Medical,4,Female,3,Research Scientist,2,Single,2279,11781,1,4,7,2,2
35,Travel_Rarely,Research & Development,23,2,Life Sciences,2,Male,2,Manufacturing Director,3,Married,5916,15497,3,1,8,1,3
43,Non-Travel,Research & Development,7,3,Medical,4,Male,4,Research Scientist,4,Divorced,2089,5228,4,4,7,3,4
45,Non-Travel,Research & Development,2,2,Medical,1,Male,2,Manager,4,Married,16792,20462,9,4,22,1,3
37,Travel_Rarely,Research & Development,21,3,Life Sciences,2,Male,4,Research Scientist,1,Married,3564,22977,1,1,8,3,2
35,Travel_Frequently,Research & Development,2,3,Medical,2,Female,3,Laboratory Technician,2,Single,4425,15986,5,4,10,5,3
42,Non-Travel,Research & Development,21,2,Medical,3,Female,3,Manufacturing Director,3,Divorced,5265,16439,2,2,11,5,3
38,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Male,3,Manufacturing Director,3,Married,6553,7259,9,2,14,3,3
38,Travel_Rarely,Research & Development,29,3,Technical Degree,4,Male,3,Manufacturing Director,4,Married,6261,4185,3,1,9,3,1
27,Travel_Frequently,Research & Development,1,1,Technical Degree,3,Male,2,Manufacturing Director,1,Married,4298,9679,5,3,6,1,3
49,Non-Travel,Research & Development,18,4,Life Sciences,4,Male,3,Manufacturing Director,4,Divorced,6804,23793,1,1,7,0,3
34,Travel_Frequently,Research & Development,10,4,Medical,4,Male,3,Research Scientist,3,Divorced,3815,5972,1,4,5,4,4
40,Travel_Rarely,Research & Development,19,2,Medical,3,Male,3,Laboratory Technician,4,Married,2741,16523,8,3,15,2,4
38,Travel_Rarely,Research & Development,29,1,Medical,2,Male,3,Healthcare Representative,1,Married,6673,11354,7,2,17,2,3
29,Travel_Rarely,Sales,27,3,Marketing,2,Female,3,Sales Executive,4,Married,7639,24525,1,4,10,3,2
22,Travel_Rarely,Research & Development,5,3,Life Sciences,4,Male,4,Research Scientist,2,Divorced,2328,12392,1,1,4,2,2
36,Travel_Frequently,Research & Development,18,1,Medical,2,Female,3,Laboratory Technician,4,Single,2153,7703,1,1,8,2,3
40,Non-Travel,Research & Development,9,5,Life Sciences,4,Male,2,Healthcare Representative,4,Married,4876,14242,9,4,5,5,1
46,Travel_Rarely,Research & Development,1,4,Medical,4,Male,3,Healthcare Representative,1,Divorced,9396,12368,7,3,17,3,3
32,Travel_Rarely,Sales,4,4,Medical,4,Male,1,Sales Executive,4,Married,10400,25812,1,3,14,2,2
30,Non-Travel,Research & Development,1,1,Life Sciences,3,Male,2,Manufacturing Director,3,Single,8474,20925,1,3,12,2,3
27,Travel_Frequently,Sales,20,3,Life Sciences,4,Female,3,Sales Executive,3,Single,9981,12916,1,4,7,2,3
51,Travel_Rarely,Research & Development,8,4,Life Sciences,2,Male,2,Research Director,2,Married,12490,15736,5,4,16,5,1
30,Travel_Rarely,Research & Development,3,3,Technical Degree,4,Female,3,Research Scientist,1,Single,2657,8556,5,3,8,5,3
41,Travel_Rarely,Sales,6,3,Life Sciences,4,Female,3,Manager,4,Single,13591,14674,3,3,16,3,3
30,Travel_Frequently,Sales,26,4,Marketing,3,Female,2,Sales Executive,1,Single,6696,22967,5,3,9,5,2
29,Travel_Rarely,Research & Development,1,3,Technical Degree,3,Male,3,Research Scientist,3,Single,2058,19757,0,4,7,1,2
45,Non-Travel,Sales,6,3,Medical,4,Female,2,Sales Executive,4,Single,8865,16840,6,4,23,2,3
54,Travel_Rarely,Sales,3,3,Marketing,4,Female,3,Sales Executive,1,Married,5940,17011,2,4,16,4,3
36,Travel_Rarely,Research & Development,5,2,Life Sciences,4,Male,3,Laboratory Technician,2,Single,5914,9945,8,4,16,3,4
