school,sex,age,address,famsize,Pstatus,Medu
GP,M,16,U,GT3,T,3
GP,M,15,R,GT3,T,4
GP,F,16,U,LE3,T,4
GP,M,15,U,LE3,A,4
GP,F,16,R,GT3,T,3
GP,F,16,U,GT3,T,2
GP,M,15,U,LE3,T,4
GP,M,15,R,GT3,T,2
GP,M,16,U,GT3,T,4
GP,M,15,U,GT3,T,4
GP,M,16,U,GT3,T,3
GP,M,17,R,GT3,T,1
GP,M,15,U,GT3,T,3
GP,F,15,U,GT3,T,1
GP,M,15,U,GT3,T,2
GP,F,16,U,LE3,T,2
GP,M,16,U,GT3,T,4
GP,F,16,U,GT3,T,2
GP,M,15,U,GT3,T,3
GP,F,15,U,LE3,A,3
GP,F,19,U,GT3,T,0
GP,M,18,R,GT3,T,2
GP,M,16,R,GT3,T,4
GP,F,15,R,GT3,T,3
GP,F,15,U,GT3,T,1
GP,F,17,U,LE3,T,2
GP,F,16,U,GT3,A,3
GP,M,15,R,GT3,T,3
GP,F,15,U,GT3,T,4
GP,M,17,R,GT3,T,3
GP,F,16,U,GT3,A,3
GP,M,16,U,LE3,T,1
GP,F,15,U,GT3,T,4
GP,M,15,U,GT3,T,4
GP,M,16,U,LE3,T,2
GP,F,15,U,GT3,T,4
GP,F,16,U,LE3,T,1
GP,M,17,U,GT3,T,2
GP,F,15,U,GT3,T,1
GP,F,15,U,GT3,T,3
GP,F,15,U,GT3,T,1
GP,M,16,U,GT3,T,4
GP,M,15,U,LE3,A,2
GP,M,18,U,LE3,T,1
GP,M,16,U,LE3,T,2
GP,F,15,R,GT3,T,3
GP,M,19,U,GT3,T,3
GP,F,17,U,GT3,T,4
GP,M,15,R,GT3,T,2
GP,M,17,R,LE3,T,1
GP,F,18,R,GT3,T,1
GP,M,16,R,GT3,T,2
GP,M,16,U,GT3,T,3
GP,M,17,R,LE3,T,2
GP,M,15,R,GT3,T,3
GP,M,16,U,LE3,T,1
GP,M,17,U,GT3,T,1
GP,M,17,R,LE3,T,1
GP,M,16,U,GT3,T,3
GP,M,16,U,GT3,T,2
GP,F,16,U,GT3,T,4
GP,F,16,U,GT3,T,2
GP,F,16,U,GT3,T,4
GP,M,16,U,GT3,T,3
GP,M,16,U,GT3,T,1
GP,M,17,U,LE3,T,4
GP,F,16,U,GT3,T,1
GP,F,16,U,LE3,T,3
GP,M,17,U,LE3,T,4
GP,F,16,U,GT3,T,2
GP,M,17,U,GT3,T,3
GP,M,16,R,GT3,T,4
GP,M,17,U,GT3,T,4
GP,M,16,U,GT3,T,4
GP,M,16,U,GT3,T,3
GP,F,17,U,GT3,T,2
GP,F,17,U,LE3,T,3
GP,F,16,U,GT3,T,3
GP,M,17,U,GT3,T,3
GP,M,16,U,GT3,T,1
GP,M,16,U,LE3,T,2
GP,F,17,U,GT3,A,3
GP,M,17,R,GT3,T,1
GP,F,16,U,GT3,T,2
GP,F,17,U,GT3,T,1
GP,M,17,U,GT3,T,1
GP,M,16,R,GT3,T,3
GP,M,16,U,GT3,T,2
GP,F,17,U,LE3,T,2
GP,M,17,U,GT3,T,4
GP,M,16,R,LE3,T,3
GP,F,17,U,GT3,T,4
GP,F,16,U,LE3,T,4
GP,F,16,U,GT3,T,4
GP,F,16,U,GT3,T,2
GP,F,17,U,GT3,T,1
GP,F,17,R,GT3,T,2
GP,F,16,R,GT3,T,2
GP,F,17,U,GT3,T,3
GP,F,16,U,GT3,A,3
GP,F,16,U,GT3,T,4
GP,F,16,U,GT3,T,1
GP,F,17,R,GT3,T,4
GP,F,19,U,GT3,T,3
GP,M,17,U,LE3,T,4
GP,F,16,U,GT3,A,2
GP,M,18,U,GT3,T,2
GP,F,17,R,LE3,T,4
GP,F,17,U,LE3,T,3
GP,F,17,U,GT3,T,4
GP,M,18,U,LE3,T,3
GP,F,17,U,GT3,T,2
GP,F,17,U,GT3,T,2
GP,F,17,R,GT3,T,2
GP,F,17,U,GT3,T,1
GP,F,16,U,GT3,T,2
GP,M,18,U,GT3,T,2
GP,F,16,U,GT3,T,4
GP,F,18,R,GT3,T,3
GP,F,17,U,GT3,T,3
GP,M,17,U,LE3,T,2
GP,M,18,U,LE3,T,2
GP,F,17,U,GT3,A,2
GP,F,17,U,LE3,T,4
GP,M,17,R,GT3,T,2
GP,M,17,U,GT3,T,4
GP,M,16,U,GT3,T,4
GP,M,16,U,LE3,T,1
GP,M,16,U,GT3,T,3
GP,M,17,U,LE3,T,2
GP,F,16,U,GT3,T,2
GP,F,17,R,GT3,T,2
GP,M,18,U,GT3,T,2
GP,M,17,U,LE3,T,4
GP,M,17,R,LE3,A,4
GP,M,16,U,LE3,T,4
GP,M,16,U,GT3,T,4
GP,F,18,U,GT3,T,2
GP,M,16,U,GT3,T,2
GP,M,17,U,GT3,T,2
GP,M,22,U,GT3,T,3
GP,M,18,R,LE3,T,3
GP,M,16,U,GT3,T,0
GP,M,18,U,GT3,T,3
GP,M,16,U,GT3,T,3
GP,M,18,U,GT3,T,2
GP,M,16,R,GT3,T,2
GP,M,17,R,GT3,T,2
GP,M,17,U,LE3,T,1
GP,F,17,U,LE3,T,4
GP,M,19,U,LE3,A,4
GP,M,18,U,GT3,T,2
GP,F,17,U,LE3,T,2
GP,F,18,U,GT3,T,4
GP,M,18,U,GT3,T,4
GP,M,18,R,GT3,T,3
GP,F,17,U,GT3,T,3
GP,F,18,U,GT3,T,2
GP,M,18,R,LE3,A,3
GP,M,17,U,GT3,T,3
GP,F,18,R,GT3,T,4
GP,M,18,U,GT3,T,4
GP,F,18,R,GT3,T,2
GP,F,19,U,GT3,T,3
GP,F,18,U,GT3,T,2
GP,F,18,U,LE3,T,1
GP,M,17,R,GT3,T,1
GP,F,17,U,GT3,T,2
GP,F,17,U,LE3,T,2
GP,F,18,R,GT3,A,3
GP,M,18,U,GT3,T,4
GP,F,18,U,GT3,T,4
GP,M,18,U,LE3,T,4
GP,M,17,U,LE3,A,4
GP,M,17,U,LE3,A,3
GP,F,18,R,LE3,T,1
GP,F,18,U,GT3,T,1
GP,F,17,U,GT3,T,2
GP,M,17,U,GT3,T,1
GP,F,18,U,GT3,T,2
GP,F,17,U,GT3,T,1
GP,M,18,U,GT3,T,2
GP,M,18,U,LE3,A,4
GP,M,18,U,GT3,T,4
GP,F,17,U,GT3,T,4
GP,F,18,U,LE3,T,2
GP,F,17,R,LE3,T,3
GP,M,18,R,LE3,T,3
GP,M,17,U,GT3,T,3
GP,F,19,U,GT3,T,4
GP,F,18,U,LE3,T,4
GP,F,18,U,GT3,T,4
GP,M,18,U,LE3,T,4
GP,F,18,U,LE3,A,4
GP,M,17,U,LE3,T,4
GP,F,17,U,GT3,T,4
GP,F,17,U,GT3,T,3
GP,M,19,U,GT3,T,3
GP,F,18,U,GT3,T,2
GP,M,20,U,GT3,A,3
GP,M,19,U,GT3,T,4
GP,M,19,R,GT3,T,3
GP,F,19,U,LE3,T,1
GP,F,19,U,LE3,T,1
GP,F,19,U,GT3,T,2
GP,M,19,U,GT3,T,1
GP,F,19,U,LE3,T,3
GP,F,19,U,GT3,T,1
GP,F,19,R,GT3,T,2
GP,F,18,U,GT3,T,2
GP,F,18,U,GT3,T,4
GP,F,17,R,GT3,T,3
GP,F,18,U,GT3,T,4
GP,F,17,U,GT3,A,4
GP,F,17,U,GT3,T,2
GP,F,17,R,LE3,T,2
GP,F,17,U,GT3,T,3
GP,F,17,U,LE3,T,0
GP,M,18,U,GT3,T,4
GP,M,17,U,GT3,T,3
GP,M,17,R,GT3,T,2
GP,F,17,U,GT3,T,4
GP,F,17,U,GT3,T,4
GP,M,18,U,LE3,T,2
GP,F,17,R,GT3,T,2
GP,F,18,U,GT3,T,3
GP,F,18,U,LE3,T,2
GP,F,18,R,GT3,T,2
GP,F,17,U,GT3,T,3
GP,F,19,R,GT3,A,3
GP,F,17,U,GT3,T,3
GP,F,18,U,LE3,T,3
GP,F,17,R,GT3,A,3
GP,F,19,U,GT3,T,2
GP,M,18,U,GT3,T,4
GP,M,18,U,LE3,T,3
GP,F,17,U,GT3,A,2
GP,F,18,U,GT3,T,2
GP,F,18,U,GT3,T,3
GP,M,18,R,GT3,T,4
GP,M,18,U,GT3,T,4
GP,F,17,U,GT3,T,4
MS,M,18,R,GT3,T,3
MS,M,19,R,GT3,T,1
MS,M,17,U,GT3,T,3
MS,M,18,U,LE3,T,1
MS,M,19,R,GT3,T,1
MS,M,17,R,GT3,T,4
MS,F,18,U,GT3,T,3
MS,F,17,R,GT3,T,4
MS,F,17,U,LE3,A,3
MS,M,18,U,LE3,T,1
MS,F,18,U,LE3,T,1
MS,F,18,R,LE3,A,1
MS,M,18,R,LE3,T,1
MS,F,18,U,GT3,T,3
MS,F,17,U,LE3,T,4
MS,F,17,R,GT3,T,1
MS,M,18,R,GT3,T,1
MS,M,18,U,LE3,T,4
MS,F,17,R,GT3,T,1
MS,F,18,U,GT3,T,2
MS,F,18,R,GT3,T,4
MS,F,19,U,LE3,T,3
MS,M,18,R,LE3,T,1
MS,F,17,U,GT3,T,2
MS,F,17,R,GT3,T,1
MS,F,18,R,LE3,T,4
MS,F,18,R,GT3,T,1
MS,F,20,U,GT3,T,4
MS,F,18,R,LE3,T,4
MS,F,18,U,GT3,T,3
MS,F,17,R,GT3,T,3
MS,M,18,U,GT3,T,4
MS,M,18,R,GT3,T,2
MS,M,17,U,GT3,T,2
MS,M,19,R,GT3,T,1
MS,M,18,R,GT3,T,4
MS,F,18,R,GT3,T,2
MS,F,18,R,GT3,T,4
MS,F,19,R,GT3,T,2
MS,F,18,U,LE3,T,3
MS,F,18,U,GT3,T,1
MS,M,20,U,LE3,A,2
MS,M,17,U,LE3,T,3
MS,M,21,R,GT3,T,1
MS,M,18,R,LE3,T,3
MS,M,19,U,LE3,T,1
